,index,facility_id,Longitude,Latitude
723,32704,7994311,-108.698,32.35
724,32716,5213011,-108.549,32.237
725,32891,9445711,-95.965,40.948
726,33215,7498011,-93.17,37.248
727,33264,6013111,-72.648,42.048
728,33279,6028411,-72.596,42.096
729,33335,5979511,-72.523,42.157
730,33363,7581811,-106.547,31.805
731,33379,7583911,-106.848,32.113
732,33487,13603611,-95.56,45.3
733,33489,6794611,-91.229,39.353
734,33710,6688611,-92.484,39.424
735,33718,751811,-82.601,27.861
736,33877,6714711,-98.328,40.922
737,33896,8212011,-98.349,40.855
738,33908,6330411,-87.829,42.846
739,33952,6330511,-87.924,43.031
740,34385,751511,-80.564,27.054
741,34590,554011,-81.734,24.564
742,34608,15038711,-88.209,44.321
743,34643,7122011,-94.707,43.673
744,34780,2694911,-81.418,28.442
745,34797,8100311,-94.326,39.091
746,34821,7663811,-94.56,39.122
747,34828,7668211,-94.299,38.862
748,35116,558411,-81.533,28.276
749,35122,1950911,-81.548,28.264
750,35328,7096511,-87.69,45.086
751,35336,7718511,-70.509,41.77
752,35378,8399211,-98.311,40.581
753,35451,6228411,-90.901,46.587
754,36156,12579611,-122.985,46.14
755,36343,6870311,-91.516,44.886
756,36468,6569511,-70.968,42.234
757,36496,5735611,-71.453,42.111
758,36510,5736011,-71.483,42.092
759,36538,6567311,-70.966,42.242
760,36613,5338211,-94.103,37.137
761,36635,5339011,-94.613,37.066
762,36856,921511,-80.053,26.765
763,37350,588511,-81.924,27.524
764,37400,769811,-81.975,27.639
765,37406,4390111,-81.963,27.642
766,37431,7543511,-92.22,38.593
767,37439,7542511,-92.102,38.556
768,37529,7766111,-96.461,41.428
769,37556,5255311,-94.783,40.283
770,38027,7324011,-88.013,42.667
771,38034,7509411,-87.903,42.538
772,38188,1968211,-80.377,27.634
773,38237,1968811,-84.888,30.669
774,38261,4958811,-91.26,43.829
775,38269,7555511,-88.506,44.193
776,38410,591711,-80.199,26.069
